學校名稱,科系,地址,官方網站
國立高雄科技大學,資訊工程系(建工校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,能源與冷凍空調工程系(燕巢校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,車輛工程系(燕巢校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,國際企業系(燕巢校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,企業管理系(燕巢校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,金融資訊系(燕巢校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,財政稅務系(燕巢校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,會計資訊系(燕巢校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,智慧商務系(燕巢校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
國立高雄科技大學,觀光管理系(燕巢校區),第一校區：824005高雄市燕巢區大學路1號建工校區：807618高雄市三民區建工路415號燕巢校區：824004高雄市燕巢區深中路58號旗津校區：805301高雄市旗津區中洲三路482號楠梓校區：811213高雄市楠梓區海專路142號,https://www.nkust.edu.tw
